Tweet,Date,Retweets,Likes
we have to maintain strong borders or we will no longer have a country that we can be proud of – and if we show any… https://t.co/sjgqajfi7m,Thu Jun 21 22:40:07 +0000 2018,32912,145524
"“i really don’t care, do u?” written on the back of melania’s jacket, refers to the fake news media. melania has le… https://t.co/sxyb9gycms",Thu Jun 21 21:51:07 +0000 2018,41374,159966
big supreme court win on internet sales tax - about time! big victory for fairness and for our country. great victo… https://t.co/wv2cxgtswa,Thu Jun 21 20:46:44 +0000 2018,14002,67241
farm bill just passed in the house. so happy to see work requirements included. big win for the farmers!,Thu Jun 21 20:46:10 +0000 2018,15901,77077
i was thrilled to be back in minnesota for a roundtable with hardworking american patriots. thank you! https://t.co/suorn02zmq,Thu Jun 21 20:45:32 +0000 2018,10209,51846
"""the real big story that affects everybody in america is the success of @potus's tax cut package and what it's done… https://t.co/smosnyg5af",Thu Jun 21 20:25:24 +0000 2018,11617,47247
my administration is acting swiftly to address the illegal immigration crisis on the southern border. loopholes in… https://t.co/hkqovs6noc,Thu Jun 21 17:02:40 +0000 2018,19377,71247
"democrats want open borders, where anyone can come into our country, and stay. this is nancy pelosi’s dream. it won’t happen!",Thu Jun 21 14:38:15 +0000 2018,25417,104924
"henry mcmaster has done a great job as governor of south carolina. the state is booming, with jobs and new industry… https://t.co/rqs2ik8o4b",Thu Jun 21 13:52:18 +0000 2018,9537,43329
"what is the purpose of the house doing good immigration bills when you need 9 votes by democrats in the senate, and… https://t.co/schoadpnrc",Thu Jun 21 13:08:33 +0000 2018,20619,77898
last night in minnesota was incredible. what a crowd!,Thu Jun 21 12:50:56 +0000 2018,12307,76349
"i will be going the columbia, south carolina, on monday night to do a campaign speech for one of my very early supp… https://t.co/lvp98f5jlc",Thu Jun 21 12:38:16 +0000 2018,17130,81479
"the border has been a big mess and problem for many years. at some point schumer and pelosi, who are weak on crime… https://t.co/iqh0ztipty",Thu Jun 21 12:29:54 +0000 2018,17943,72621
"we shouldn’t be hiring judges by the thousands, as our ridiculous immigration laws demand, we should be changing ou… https://t.co/x25usjjkaq",Thu Jun 21 12:12:07 +0000 2018,27979,105753
all-time record optimism! https://t.co/ztrfjy2afh,Thu Jun 21 03:51:37 +0000 2018,18683,75321
"just returning from the great state of minnesota where we had an incredible rally with 9,000 people, and at least 1… https://t.co/eqhc4yqv5x",Thu Jun 21 03:24:35 +0000 2018,16974,87907
"thank you duluth, minnesota. together, we are making america great again! https://t.co/g0hbbx6xak",Thu Jun 21 01:01:15 +0000 2018,16437,72970
"so sorry, people wanting to get into the already packed arena - i love you all! https://t.co/pfvxrsvgka",Wed Jun 20 23:30:38 +0000 2018,21744,94582
"just landed in duluth, minnesota. two events planned - looking forward to them and being with @petestauber and his wonderful family!",Wed Jun 20 21:54:38 +0000 2018,9769,56038
"don’t worry, the republicans, and your president, will fix it! https://t.co/xsbupzxbhj",Wed Jun 20 20:39:30 +0000 2018,72849,189565
look what fake abc news put out. i guess they had it prepared from the 13 angry democrats leading the witch hunt!… https://t.co/v4ayiq7r2b,Wed Jun 20 20:34:24 +0000 2018,14747,52050
had a great meeting with the house gop last night at the capitol. they applauded and laughed loudly when i mentione… https://t.co/o0s8sdxyxe,Wed Jun 20 20:04:45 +0000 2018,10047,54065
https://t.co/yfwdyuhmn3,Wed Jun 20 17:37:42 +0000 2018,11922,43884
more records! #maga https://t.co/2cp5eq40fy,Wed Jun 20 15:00:16 +0000 2018,10831,42574
"rt @pastordscott: once the mid terms are over, liberals won’t talk about detained or separated illegal immigrant children until 2020. #itsa…",Wed Jun 20 14:02:28 +0000 2018,17311,0
"rt @globalgolfpost: the golf world has lost a legend in five-time open championship winner peter thomson. 

read: https://t.co/tfmho2gedg h…",Wed Jun 20 14:01:52 +0000 2018,2583,0
"“fbi texts have revealed anti-trump bias.” @foxnews  big news, but the fake news doesn’t want to cover. total corru… https://t.co/tprbo2ib09",Wed Jun 20 14:00:18 +0000 2018,22178,83644
rt @erictrump: it is hard to believe that the historic north korea / kim jong un summit was exactly one week ago. truly amazing to see the…,Wed Jun 20 13:43:05 +0000 2018,16433,0
"it’s the democrats fault, they won’t give us the votes needed to pass good immigration legislation. they want open… https://t.co/p4yiez06fo",Wed Jun 20 13:41:25 +0000 2018,23481,96846
the fake news is not mentioning the safety and security of our country when talking about illegal immigration. our… https://t.co/y2ky7przbi,Wed Jun 20 12:25:17 +0000 2018,32056,127095
thank you @housegop! https://t.co/scvacfjwts,Wed Jun 20 02:36:54 +0000 2018,9518,48433
"earlier today, @flotus melania and i were honored to welcome king felipe vi and queen letizia of spain to the… https://t.co/7zrbkqtddb",Wed Jun 20 02:17:37 +0000 2018,13121,70413
homeland security @secnielsen did a fabulous job yesterday at the press conference explaining security at the borde… https://t.co/2tsm8kzz2w,Wed Jun 20 01:06:27 +0000 2018,22496,97125
i want to take a moment to address the current illegal immigration crisis on the southern border...it has been goin… https://t.co/tzmghx7msj,Tue Jun 19 18:04:17 +0000 2018,22051,82936
thank you @nfib! #nfib75 https://t.co/5ppzhqhzu0,Tue Jun 19 17:35:39 +0000 2018,8627,38882
"join me tomorrow in duluth, minnesota for a #maga rally! tickets: https://t.co/mhhjb8wqlf https://t.co/gp59o1rdqw",Tue Jun 19 15:22:29 +0000 2018,10610,42961
#changethelaws   now is the best opportunity ever for congress to change the ridiculous and obsolete laws on immigr… https://t.co/ue55llouhz,Tue Jun 19 14:11:51 +0000 2018,19991,80815
"we must always arrest people coming into our country illegally. of the 12,000 children, 10,000 are being sent by th… https://t.co/binoy1gdoh",Tue Jun 19 14:07:02 +0000 2018,32771,122786
"democrats are the problem. they don’t care about crime and want illegal immigrants, no matter how bad they may be,… https://t.co/asy1d9uxly",Tue Jun 19 13:52:24 +0000 2018,28249,109807
"if you don’t have borders, you don’t have a country!",Tue Jun 19 13:52:18 +0000 2018,42090,174367
crime in germany is up 10% plus (officials do not want to report these crimes) since migrants were accepted. others… https://t.co/tlfg6fg1tn,Tue Jun 19 13:52:07 +0000 2018,19709,80981
i can’t think of something more concerning than a law enforcement officer suggesting that their going to use their… https://t.co/77nljkxgdk,Tue Jun 19 13:52:06 +0000 2018,20771,85464
comey gave strozk his marching orders. mueller is comey’s best friend. witch hunt!,Mon Jun 18 15:27:41 +0000 2018,21402,88927
if president obama (who got nowhere with north korea and would have had to go to war with many millions of people b… https://t.co/7wv5rz14pr,Mon Jun 18 14:57:40 +0000 2018,26858,120745
it is the democrats fault for being weak and ineffective with boarder security and crime. tell them to start thinki… https://t.co/p1cii0u73i,Mon Jun 18 13:53:48 +0000 2018,23490,100730
change the laws!,Mon Jun 18 13:50:53 +0000 2018,18989,85615
children are being used by some of the worst criminals on earth as a means to enter our country. has anyone been lo… https://t.co/sgqepbpivg,Mon Jun 18 13:50:40 +0000 2018,30074,117523
we don’t want what is happening with immigration in europe to happen with us!,Mon Jun 18 13:04:28 +0000 2018,32626,128526
the people of germany are turning against their leadership as migration is rocking the already tenuous berlin coali… https://t.co/lx81ysivts,Mon Jun 18 13:02:43 +0000 2018,34689,117778
why don’t the democrats give us the votes to fix the world’s worst immigration laws? where is the outcry for the ki… https://t.co/uxvdtvf6cs,Mon Jun 18 12:46:07 +0000 2018,26884,109881
